title,content
アサンジ容疑者にエクアドル国籍＝５年半、在英大使館籠,【サンパウロ時事】南米エクアドルのエスピノサ外相は１１日、在英大使館に５年半にわたり籠城している内部告発サイト「ウィキリークス」創始者ジュリアン・アサンジ容疑者（４６）にエクアドル国籍を与えたと発表した。英警察に逮捕され、保釈中に逃亡した同容疑者は、大使館を一歩出れば英裁判所の出頭要請に応じなかった容疑で拘束される。  エスピノサ氏はキトでの記者会見で「法や国際条約、人権に基づき、昨年１２月１２日に国籍取得を認めた」と説明。拘束されないよう外交官として信任することを英外務省に求めたが、拒否されたと明らかにした。（2018/01/12-06:13）  【国際記事一覧へ】 【アクセスランキン
中国のサイバー監視、マリオットが標的,米ホテルチェーンのマリオットが中国向けサイトとモバイルアプリの一時閉鎖を当局に命じられた。ネット上のアンケートで香港、台湾などを中国とは別の国に分類したことが発端。  記事全文>>>  【ウォール・ストリート・ジャーナル記事一覧へ】 【アクセスランキン
